internal_PTSG,internal_pyr_c,internal_LacY,internal_g6p_c,internal_pep_c,external_lcts_e,external_glc__D_e,global_volume,global_growth_rate,time
1.8e-06,0.4984615384615384,1e-06,0.4984615384615384,-0.3184615384615384,10.0,12.0,1.2172727272727273,0.0,1.0
1.8e-06,0.996884265329492,1e-06,0.996884265329492,-0.816884265329492,9.998893416765636,11.987864747286313,1.2172727272727273,0.0,2.0
1.8e-06,1.4952681109909691,1e-06,1.4952681109909691,-1.315268110990969,9.997786833531272,11.975730424474502,1.2172727272727273,0.0,3.0
1.8e-06,1.9936130057526795,1e-06,1.9936130057526795,-1.8136130057526794,9.996680250296908,11.963597064775351,1.2172727272727273,0.0,4.0
1.8e-06,2.491918879627236,1e-06,2.491918879627236,-2.3119188796272354,9.995573700273324,11.951464634978077,1.2172727272727273,0.0,5.0
1.8e-06,2.9901856625459096,1e-06,2.9901856625459096,-2.810185662545909,9.99446715024974,11.939333168293462,1.2172727272727273,0.0,6.0
1.8e-06,3.4884132842514415,1e-06,3.4884132842514415,-3.308413284251441,9.993360600226156,11.927202664721506,1.2172727272727273,0.0,7.0
1.8e-06,3.9866016741898496,1e-06,3.9866016741898496,-3.806601674189849,9.992254083413354,11.915073091051427,1.2172727272727273,0.0,8.0
1.8e-06,4.484750761724378,1e-06,4.484750761724378,-4.304750761724377,9.991147566600551,11.902944480494009,1.2172727272727273,0.0,9.0
1.8e-06,4.982860476027698,1e-06,4.982860476027698,-4.802860476027697,9.990041049787749,11.890816833049248,1.2172727272727273,0.0,10.0
1.8e-06,5.480930746081226,1e-06,5.480930746081226,-5.300930746081225,9.988934566185728,11.878690148717148,1.2172727272727273,0.0,11.0
1.8e-06,5.97896150067443,1e-06,5.97896150067443,-5.798961500674429,9.987828082583707,11.866564427497705,1.2172727272727273,0.0,12.0
1.8e-06,6.47695266840414,1e-06,6.47695266840414,-6.29695266840414,9.986721598981687,11.854439669390922,1.2172727272727273,0.0,13.0
1.8e-06,6.974904177673852,1e-06,6.974904177673852,-6.794904177673852,9.985615148590448,11.842315874396798,1.2172727272727273,0.0,14.0
1.8e-06,7.4728159566930294,1e-06,7.4728159566930294,-7.29281595669303,9.984508698199209,11.830193042515333,1.2172727272727273,0.0,15.0
1.8e-06,7.9706879334764,1e-06,7.9706879334764,-7.7906879334764,9.98340224780797,11.818071173746526,1.2172727272727273,0.0,16.0
1.8e-06,8.468520035843254,1e-06,8.468520035843254,-8.288520035843254,9.982295830627512,11.80595026809038,1.2172727272727273,0.0,17.0
1.8e-06,8.966312191416732,1e-06,8.966312191416732,-8.786312191416732,9.981189413447055,11.79383032554689,1.2172727272727273,0.0,18.0
1.8e-06,9.46406432773289,1e-06,9.46406432773289,-9.28406432773289,9.980082996266598,11.781711379326842,1.2172727272727273,0.0,19.0
