cell_AcrAB-TolC,cell_antibiotic,cell_AcrAB-TolC_RNA,cell_porin,environment_antibiotic,global_volume,global_growth_rate,global_dead,global_mass,cell_counts_AcrAB-TolC,cell_counts_antibiotic,cell_counts_AcrAB-TolC_RNA,cell_counts_porin,time
0.8924839611090277,0.11043409003346417,0.001,1.0,0.9999999999817721,2.317901248946036,0.0002887696232572523,0.0,2549.6913738406397,1245434.0,154107.0,1395.0,1395469.0,2230.0
0.8925914771479186,0.11046884343304093,0.001,1.0,0.999999999981764,2.3185707817571792,0.00028876962325722933,0.0,2550.4278599328973,1245944.0,154200.0,1395.0,1395872.0,2231.0
0.8926988856707707,0.11050358611502435,0.001,1.0,0.9999999999817559,2.319240507964907,0.0002887696232572279,0.0,2551.164558761398,1246453.0,154293.0,1396.0,1396275.0,2232.0
0.8928061867850999,0.11053831808397797,0.001,1.0,0.9999999999817478,2.319910427625083,0.00028876962325724424,0.0,2551.9014703875914,1246963.0,154386.0,1396.0,1396679.0,2233.0
0.8929133805983148,0.11057303934446401,0.001,1.0,0.9999999999817397,2.3205805407935864,0.0002887696232572724,0.0,2552.638594872945,1247473.0,154479.0,1397.0,1397082.0,2234.0
0.8930204672177166,0.11060774990104333,0.001,1.0,0.9999999999817316,2.3212508475263123,0.0002887696232573048,0.0,2553.3759322789433,1247983.0,154572.0,1397.0,1397486.0,2235.0
0.8931274467504988,0.11064244975827545,0.001,1.0,0.9999999999817235,2.321921347879172,0.00028876962325715354,0.0,2554.113482667089,1248493.0,154665.0,1397.0,1397889.0,2236.0
0.8932343193037483,0.11067713892071854,0.001,1.0,0.9999999999817154,2.3225920419080937,0.0002887696232571629,0.0,2554.851246098903,1249003.0,154759.0,1398.0,1398293.0,2237.0
0.8933410849844445,0.11071181739292943,0.001,1.0,0.9999999999817073,2.323262929669022,0.00028876962325731904,0.0,2555.589222635924,1249514.0,154852.0,1398.0,1398697.0,2238.0
0.8934477438994601,0.11074648517946357,0.001,1.0,0.9999999999816992,2.3239340112179163,0.00028876962325725025,0.0,2556.3274123397077,1250024.0,154945.0,1399.0,1399101.0,2239.0
0.8935542961555607,0.1107811422848751,0.001,1.0,0.9999999999816911,2.3246052866107525,0.00028876962325729454,0.0,2557.065815271828,1250534.0,155038.0,1399.0,1399505.0,2240.0
0.8936607418594051,0.11081578871371675,0.001,1.0,0.999999999981683,2.325276755903524,0.00028876962325725426,0.0,2557.804431493876,1251044.0,155132.0,1399.0,1399910.0,2241.0
0.8937670811175458,0.11085042447053994,0.001,1.0,0.9999999999816749,2.325948419152238,0.0002887696232572854,0.0,2558.543261067462,1251554.0,155225.0,1400.0,1400314.0,2242.0
0.8938733140364282,0.11088504955989471,0.001,1.0,0.9999999999816669,2.3266202764129207,0.00028876962325718645,0.0,2559.2823040542125,1252065.0,155318.0,1400.0,1400718.0,2243.0
0.8939794407223918,0.11091966398632974,0.001,1.0,0.9999999999816589,2.327292327741612,0.00028876962325728695,0.0,2560.021560515773,1252575.0,155412.0,1401.0,1401123.0,2244.0
0.8940854612816693,0.11095426775439234,0.001,1.0,0.9999999999816509,2.3279645731943694,0.00028876962325720374,0.0,2560.7610305138064,1253085.0,155505.0,1401.0,1401528.0,2245.0
0.8941913758203877,0.11098886086862844,0.001,1.0,0.9999999999816429,2.3286370128272664,0.00028876962325726223,0.0,2561.500714109993,1253596.0,155598.0,1401.0,1401933.0,2246.0
0.8942971844445673,0.11102344333358263,0.001,1.0,0.9999999999816349,2.3293096466963927,0.00028876962325725307,0.0,2562.2406113660318,1254106.0,155692.0,1402.0,1402337.0,2247.0
0.8944028872601227,0.11105801515379812,0.001,1.0,0.9999999999816269,2.3299824748578533,0.00028876962325731986,0.0,2562.9807223436387,1254617.0,155785.0,1402.0,1402743.0,2248.0
0.8945084843728626,0.11109257633381675,0.001,1.0,0.9999999999816189,2.3306554973677707,0.00028876962325724944,0.0,2563.721047104548,1255128.0,155879.0,1403.0,1403148.0,2249.0
0.8946139758884897,0.11112712687817898,0.001,1.0,0.9999999999816109,2.3313287142822827,0.0002887696232571814,0.0,2564.461585710511,1255638.0,155972.0,1403.0,1403553.0,2250.0
0.8947193619126012,0.11116166679142388,0.001,1.0,0.9999999999816029,2.332002125657544,0.00028876962325725323,0.0,2565.2023382232983,1256149.0,156066.0,1403.0,1403958.0,2251.0
0.8948246425506885,0.11119619607808916,0.001,1.0,0.999999999981595,2.332675731549725,0.00028876962325724575,0.0,2565.9433047046973,1256659.0,156159.0,1404.0,1404364.0,2252.0
0.8949298179081379,0.11123071474271115,0.001,1.0,0.999999999981587,2.333349532015012,0.00028876962325729243,0.0,2566.6844852165136,1257170.0,156253.0,1404.0,1404770.0,2253.0
0.8950348880902297,0.1112652227898248,0.001,1.0,0.999999999981579,2.334023527109609,0.00028876962325717035,0.0,2567.42587982057,1257681.0,156347.0,1405.0,1405175.0,2254.0
0.8951398532021394,0.11129972022396366,0.001,1.0,0.999999999981571,2.334697716889735,0.000288769623257186,0.0,2568.1674885787083,1258192.0,156440.0,1405.0,1405581.0,2255.0
0.8952447133489373,0.11133420704965989,0.001,1.0,0.999999999981563,2.335372101411625,0.00028876962325728945,0.0,2568.9093115527876,1258703.0,156534.0,1405.0,1405987.0,2256.0
0.8953494686355884,0.1113686832714443,0.001,1.0,0.999999999981555,2.336046680731531,0.0002887696232572519,0.0,2569.6513488046844,1259214.0,156628.0,1406.0,1406393.0,2257.0
0.8954541191669528,0.11140314889384625,0.001,1.0,0.999999999981547,2.3367214549057214,0.00028876962325719664,0.0,2570.3936003962936,1259725.0,156721.0,1406.0,1406800.0,2258.0
0.8955586650477859,0.11143760392139376,0.001,1.0,0.999999999981539,2.33739642399048,0.00028876962325724483,0.0,2571.136066389528,1260236.0,156815.0,1407.0,1407206.0,2259.0
0.8956631063827382,0.11147204835861343,0.001,1.0,0.999999999981531,2.3380715880421072,0.0002887696232571618,0.0,2571.878746846318,1260747.0,156909.0,1407.0,1407613.0,2260.0
0.8957674432763554,0.11150648221003048,0.001,1.0,0.999999999981523,2.33874694711692,0.00028876962325724136,0.0,2572.621641828612,1261258.0,157003.0,1408.0,1408019.0,2261.0
0.895871675833079,0.1115409054801687,0.001,1.0,0.9999999999815149,2.339422501271252,0.00028876962325724505,0.0,2573.364751398377,1261769.0,157097.0,1408.0,1408426.0,2262.0
0.895975804157246,0.11157531817355053,0.001,1.0,0.9999999999815068,2.3400982505614514,0.0002887696232572858,0.0,2574.1080756175966,1262280.0,157191.0,1408.0,1408833.0,2263.0
0.8960798283530887,0.11160972029469694,0.001,1.0,0.9999999999814987,2.3407741950438847,0.0002887696232572979,0.0,2574.851614548273,1262791.0,157284.0,1409.0,1409240.0,2264.0
0.8961837485247357,0.11164411184812757,0.001,1.0,0.9999999999814906,2.341450334774933,0.0002887696232572137,0.0,2575.5953682524264,1263302.0,157378.0,1409.0,1409647.0,2265.0
0.896287564776211,0.11167849283836061,0.001,1.0,0.9999999999814825,2.3421266698109955,0.0002887696232573166,0.0,2576.339336792095,1263814.0,157472.0,1410.0,1410054.0,2266.0
0.8963912772114347,0.11171286326991284,0.001,1.0,0.9999999999814744,2.3428032002084853,0.00028876962325718184,0.0,2577.0835202293338,1264325.0,157566.0,1410.0,1410461.0,2267.0
